Sales_Person,Total_Revenue
Ches Bonnell,320901
Oby Sorrel,316645
Madelene Upcott,316099
Brien Boise,312816
Kelci Walkden,311710
Van Tuxwell,303149
Dennison Crosswaite,291669
Beverie Moffet,278922
Kaine Padly,266490
Marney O'Breen,259742
Barr Faughny,258713
Roddy Speechley,251062
Gunar Cockshoot,238483
Gigi Bohling,232666
Karlen McCaffrey,223895
Jehu Rudeforth,220976
Jan Morforth,219667
Curtice Advani,216461
Rafaelita Blaksland,210245
Husein Augar,205212
Andria Kimpton,201747
Mallorie Waber,200592
Camilla Castle,196616
Dotty Strutley,190624
Wilone O'Kielt,138523
