Sales_Person,Total_Boxes_Shipped
Karlen McCaffrey,9658
Beverie Moffet,9214
Dennison Crosswaite,8767
Kelci Walkden,8702
Oby Sorrel,8608
Brien Boise,8102
Marney O'Breen,8043
Jan Morforth,7661
Ches Bonnell,7522
Madelene Upcott,7279
Kaine Padly,7253
Jehu Rudeforth,7246
Curtice Advani,7074
Roddy Speechley,6899
Dotty Strutley,6853
Van Tuxwell,6799
Gunar Cockshoot,6677
Andria Kimpton,6448
Barr Faughny,6366
Gigi Bohling,6303
Mallorie Waber,5980
Husein Augar,5849
Camilla Castle,5374
Rafaelita Blaksland,4297
Wilone O'Kielt,4033
