Sales_Person,Unique_Products,Total_Transactions,Product_Diversity_Ratio
Andria Kimpton,21,39,0.538
Rafaelita Blaksland,18,34,0.529
Dotty Strutley,19,36,0.528
Husein Augar,20,38,0.526
Jan Morforth,20,39,0.513
Roddy Speechley,22,43,0.512
Wilone O'Kielt,16,34,0.471
Camilla Castle,15,32,0.469
Jehu Rudeforth,20,43,0.465
Curtice Advani,21,46,0.457
Karlen McCaffrey,21,47,0.447
Marney O'Breen,20,45,0.444
Madelene Upcott,20,45,0.444
Barr Faughny,19,43,0.442
Mallorie Waber,18,41,0.439
Dennison Crosswaite,21,49,0.429
Gigi Bohling,20,47,0.426
Kaine Padly,19,45,0.422
Gunar Cockshoot,18,43,0.419
Ches Bonnell,20,48,0.417
Van Tuxwell,21,51,0.412
Oby Sorrel,20,49,0.408
Kelci Walkden,22,54,0.407
Beverie Moffet,20,50,0.4
Brien Boise,21,53,0.396
