Sales_Person,Transactions,Avg_Boxes_Per_Transaction
Karlen McCaffrey,47,205.48936170212767
Jan Morforth,39,196.43589743589743
Dotty Strutley,36,190.36111111111111
Beverie Moffet,50,184.28
Dennison Crosswaite,49,178.91836734693877
Marney O'Breen,45,178.73333333333332
Oby Sorrel,49,175.6734693877551
Jehu Rudeforth,43,168.51162790697674
Camilla Castle,32,167.9375
Andria Kimpton,39,165.33333333333334
Madelene Upcott,45,161.75555555555556
Kaine Padly,45,161.17777777777778
Kelci Walkden,54,161.14814814814815
Roddy Speechley,43,160.4418604651163
Ches Bonnell,48,156.70833333333334
Gunar Cockshoot,43,155.27906976744185
Husein Augar,38,153.92105263157896
Curtice Advani,46,153.7826086956522
Brien Boise,53,152.8679245283019
Barr Faughny,43,148.04651162790697
Mallorie Waber,41,145.85365853658536
Gigi Bohling,47,134.10638297872342
Van Tuxwell,51,133.31372549019608
Rafaelita Blaksland,34,126.38235294117646
Wilone O'Kielt,34,118.61764705882354
