Sales_Person,Revenue_Band,Transactions
Andria Kimpton,Below 5k,23
Andria Kimpton,5k-10k,12
Andria Kimpton,10k - 15k,4
Barr Faughny,5k-10k,19
Barr Faughny,Below 5k,18
Barr Faughny,10k - 15k,5
Barr Faughny,15k+,1
Beverie Moffet,Below 5k,27
Beverie Moffet,5k-10k,13
Beverie Moffet,10k - 15k,10
Brien Boise,Below 5k,24
Brien Boise,5k-10k,19
Brien Boise,10k - 15k,6
Brien Boise,15k+,4
Camilla Castle,Below 5k,17
Camilla Castle,5k-10k,10
Camilla Castle,10k - 15k,3
Camilla Castle,15k+,2
Ches Bonnell,Below 5k,21
Ches Bonnell,5k-10k,17
Ches Bonnell,10k - 15k,7
Ches Bonnell,15k+,3
Curtice Advani,Below 5k,30
Curtice Advani,5k-10k,11
Curtice Advani,10k - 15k,3
Curtice Advani,15k+,2
Dennison Crosswaite,Below 5k,22
Dennison Crosswaite,5k-10k,16
Dennison Crosswaite,10k - 15k,10
Dennison Crosswaite,15k+,1
Dotty Strutley,Below 5k,19
Dotty Strutley,5k-10k,11
Dotty Strutley,10k - 15k,4
Dotty Strutley,15k+,2
Gigi Bohling,Below 5k,24
Gigi Bohling,5k-10k,18
Gigi Bohling,10k - 15k,5
Gunar Cockshoot,Below 5k,21
Gunar Cockshoot,5k-10k,16
Gunar Cockshoot,10k - 15k,6
Husein Augar,Below 5k,23
Husein Augar,5k-10k,11
Husein Augar,10k - 15k,4
Jan Morforth,Below 5k,23
Jan Morforth,5k-10k,11
Jan Morforth,10k - 15k,3
Jan Morforth,15k+,2
Jehu Rudeforth,Below 5k,21
Jehu Rudeforth,5k-10k,17
Jehu Rudeforth,10k - 15k,5
Kaine Padly,5k-10k,20
Kaine Padly,Below 5k,19
Kaine Padly,10k - 15k,4
Kaine Padly,15k+,2
Karlen McCaffrey,Below 5k,28
Karlen McCaffrey,5k-10k,13
Karlen McCaffrey,10k - 15k,5
Karlen McCaffrey,15k+,1
Kelci Walkden,Below 5k,28
Kelci Walkden,5k-10k,19
Kelci Walkden,15k+,4
Kelci Walkden,10k - 15k,3
Madelene Upcott,5k-10k,20
Madelene Upcott,Below 5k,14
Madelene Upcott,10k - 15k,11
Mallorie Waber,Below 5k,24
Mallorie Waber,5k-10k,14
Mallorie Waber,10k - 15k,2
Mallorie Waber,15k+,1
Marney O'Breen,Below 5k,24
Marney O'Breen,5k-10k,14
Marney O'Breen,10k - 15k,6
Marney O'Breen,15k+,1
Oby Sorrel,5k-10k,21
Oby Sorrel,Below 5k,19
Oby Sorrel,10k - 15k,7
Oby Sorrel,15k+,2
Rafaelita Blaksland,Below 5k,19
Rafaelita Blaksland,5k-10k,8
Rafaelita Blaksland,10k - 15k,4
Rafaelita Blaksland,15k+,3
Roddy Speechley,Below 5k,20
Roddy Speechley,5k-10k,17
Roddy Speechley,10k - 15k,6
Van Tuxwell,Below 5k,24
Van Tuxwell,5k-10k,19
Van Tuxwell,10k - 15k,6
Van Tuxwell,15k+,2
Wilone O'Kielt,Below 5k,26
Wilone O'Kielt,5k-10k,5
Wilone O'Kielt,10k - 15k,3
