Sales_Person,Country,Total_Revenue,Ranking
Ches Bonnell,India,98763,1
Van Tuxwell,India,85785,2
Oby Sorrel,India,75579,3
Beverie Moffet,Canada,71995,1
Madelene Upcott,UK,71330,1
Mallorie Waber,Australia,71134,1
Jehu Rudeforth,UK,69895,2
Dennison Crosswaite,USA,69545,1
Kelci Walkden,USA,69356,2
Oby Sorrel,UK,69279,3
Madelene Upcott,New Zealand,67550,1
Dennison Crosswaite,Australia,65275,2
Karlen McCaffrey,USA,61628,3
Barr Faughny,New Zealand,61145,2
Brien Boise,Australia,60417,3
Brien Boise,Canada,60375,2
Marney O'Breen,New Zealand,58212,3
Kelci Walkden,Canada,57078,3
