Sales_Person,Product,Total_Revenue,Total_Boxes,Revenue_Per_Box
Van Tuxwell,Spicy Special Slims,6167,4,1541.75
Ches Bonnell,85% Dark Bars,14924,12,1243.6666666666667
Madelene Upcott,50% Dark Bites,7350,6,1225.0
Curtice Advani,Choco Coated Almonds,5859,7,837.0
Andria Kimpton,Raspberry Choco,14504,21,690.6666666666666
Andria Kimpton,70% Dark Bites,10262,15,684.1333333333333
Karlen McCaffrey,Milk Bars,4389,7,627.0
Dennison Crosswaite,50% Dark Bites,7287,12,607.25
Gunar Cockshoot,White Choc,7560,15,504.0
Barr Faughny,Orange Choco,11305,29,389.82758620689657
Brien Boise,Fruit & Nut Bars,8575,23,372.82608695652175
Mallorie Waber,Raspberry Choco,9800,29,337.9310344827586
Husein Augar,50% Dark Bites,14889,52,286.3269230769231
Roddy Speechley,Fruit & Nut Bars,5509,24,229.54166666666666
Barr Faughny,Eclairs,6713,31,216.5483870967742
Wilone O'Kielt,Orange Choco,7042,37,190.32432432432432
Curtice Advani,99% Dark & Pure,17262,91,189.69230769230768
Rafaelita Blaksland,Mint Chip Choco,15491,85,182.24705882352941
Beverie Moffet,Raspberry Choco,14798,83,178.289156626506
Rafaelita Blaksland,Caramel Stuffed Bars,20202,115,175.6695652173913
Madelene Upcott,Smooth Sliky Salty,14539,84,173.08333333333334
Rafaelita Blaksland,Eclairs,20860,121,172.39669421487602
Kelci Walkden,Peanut Butter Cubes,7532,44,171.1818181818182
Kaine Padly,Eclairs,28189,173,162.94219653179192
Ches Bonnell,Almond Choco,11788,73,161.4794520547945
Jan Morforth,White Choc,12271,79,155.32911392405063
Camilla Castle,85% Dark Bars,30177,198,152.4090909090909
Curtice Advani,Smooth Sliky Salty,21987,147,149.57142857142858
Gunar Cockshoot,Manuka Honey Choco,6762,46,147.0
Camilla Castle,Orange Choco,7770,54,143.88888888888889
Madelene Upcott,Almond Choco,17745,126,140.83333333333334
Dennison Crosswaite,Almond Choco,11718,84,139.5
Oby Sorrel,Drinking Coco,24094,174,138.4712643678161
Gigi Bohling,85% Dark Bars,12362,94,131.51063829787233
Brien Boise,After Nines,5747,45,127.71111111111111
Jan Morforth,Smooth Sliky Salty,11298,89,126.9438202247191
Dotty Strutley,Peanut Butter Cubes,9107,73,124.75342465753425
Rafaelita Blaksland,50% Dark Bites,13160,108,121.85185185185185
Gigi Bohling,Choco Coated Almonds,12313,103,119.54368932038835
Oby Sorrel,Baker's Choco Chips,19824,167,118.7065868263473
Jan Morforth,Drinking Coco,2821,24,117.54166666666667
Van Tuxwell,Smooth Sliky Salty,8491,80,106.1375
Barr Faughny,Fruit & Nut Bars,26166,248,105.50806451612904
Karlen McCaffrey,Mint Chip Choco,30968,298,103.91946308724832
Ches Bonnell,Smooth Sliky Salty,31066,303,102.52805280528052
Van Tuxwell,Organic Choco Syrup,45451,444,102.36711711711712
Jehu Rudeforth,Almond Choco,10122,100,101.22
Andria Kimpton,White Choc,13104,130,100.8
Marney O'Breen,Smooth Sliky Salty,31220,315,99.11111111111111
Kelci Walkden,Manuka Honey Choco,18676,193,96.76683937823834
Husein Augar,Spicy Special Slims,7189,75,95.85333333333334
Kelci Walkden,Milk Bars,24892,260,95.73846153846154
Gunar Cockshoot,Choco Coated Almonds,18837,197,95.61928934010152
Gigi Bohling,Almond Choco,16541,175,94.52
Barr Faughny,After Nines,18214,193,94.37305699481865
Kaine Padly,Milk Bars,22442,238,94.29411764705883
Barr Faughny,85% Dark Bars,23359,248,94.18951612903226
Mallorie Waber,Manuka Honey Choco,24675,262,94.1793893129771
Jan Morforth,Eclairs,2541,27,94.11111111111111
Dotty Strutley,Almond Choco,17570,187,93.9572192513369
Camilla Castle,White Choc,19663,211,93.18957345971565
Barr Faughny,Raspberry Choco,30499,336,90.77083333333333
Curtice Advani,70% Dark Bites,4585,51,89.90196078431373
Madelene Upcott,Organic Choco Syrup,22540,251,89.800796812749
Dennison Crosswaite,Choco Coated Almonds,10479,118,88.80508474576271
Gunar Cockshoot,50% Dark Bites,30394,343,88.61224489795919
Marney O'Breen,Fruit & Nut Bars,13692,155,88.33548387096774
Kaine Padly,Fruit & Nut Bars,7434,85,87.45882352941176
Madelene Upcott,White Choc,23044,264,87.28787878787878
Roddy Speechley,After Nines,10577,122,86.69672131147541
Van Tuxwell,Caramel Stuffed Bars,6923,80,86.5375
Gigi Bohling,50% Dark Bites,16163,192,84.18229166666667
Kaine Padly,Caramel Stuffed Bars,15785,189,83.51851851851852
Brien Boise,Choco Coated Almonds,5124,62,82.64516129032258
Jehu Rudeforth,85% Dark Bars,12474,153,81.52941176470588
Beverie Moffet,Orange Choco,8722,109,80.01834862385321
Jan Morforth,Almond Choco,14210,179,79.3854748603352
Brien Boise,Baker's Choco Chips,18494,236,78.36440677966101
Ches Bonnell,Organic Choco Syrup,32487,415,78.28192771084338
Van Tuxwell,70% Dark Bites,14140,181,78.12154696132596
Husein Augar,Manuka Honey Choco,7161,92,77.83695652173913
Kaine Padly,50% Dark Bites,20895,272,76.81985294117646
Kelci Walkden,White Choc,25746,340,75.7235294117647
Oby Sorrel,Peanut Butter Cubes,12425,167,74.40119760479043
Madelene Upcott,99% Dark & Pure,14805,199,74.39698492462311
Beverie Moffet,85% Dark Bars,29743,401,74.17206982543641
Van Tuxwell,Manuka Honey Choco,10934,148,73.87837837837837
Dotty Strutley,Caramel Stuffed Bars,22750,311,73.15112540192926
Brien Boise,Manuka Honey Choco,23884,335,71.2955223880597
Mallorie Waber,Mint Chip Choco,7700,109,70.64220183486239
Wilone O'Kielt,Eclairs,6860,98,70.0
Jehu Rudeforth,Eclairs,8771,127,69.06299212598425
Karlen McCaffrey,White Choc,19432,282,68.90780141843972
Gigi Bohling,Spicy Special Slims,22785,331,68.83685800604229
Brien Boise,Milk Bars,29785,433,68.78752886836028
Van Tuxwell,Milk Bars,12173,177,68.77401129943503
Ches Bonnell,Spicy Special Slims,19789,295,67.0813559322034
Beverie Moffet,Peanut Butter Cubes,24752,369,67.07859078590786
Beverie Moffet,Eclairs,20615,308,66.93181818181819
Jehu Rudeforth,Milk Bars,30408,456,66.6842105263158
Brien Boise,Peanut Butter Cubes,15631,235,66.51489361702127
Van Tuxwell,50% Dark Bites,32795,494,66.38663967611336
Marney O'Breen,Eclairs,8386,127,66.03149606299213
Madelene Upcott,Fruit & Nut Bars,19768,302,65.45695364238411
Roddy Speechley,Raspberry Choco,12635,194,65.12886597938144
Curtice Advani,Caramel Stuffed Bars,9114,140,65.1
Kelci Walkden,Organic Choco Syrup,9870,152,64.9342105263158
Husein Augar,Raspberry Choco,9954,154,64.63636363636364
Mallorie Waber,Peanut Butter Cubes,1162,18,64.55555555555556
Karlen McCaffrey,99% Dark & Pure,10822,168,64.41666666666667
Van Tuxwell,99% Dark & Pure,17423,271,64.29151291512915
Wilone O'Kielt,Almond Choco,9198,144,63.875
Ches Bonnell,Drinking Coco,8302,131,63.37404580152672
Camilla Castle,Smooth Sliky Salty,7406,118,62.76271186440678
Jan Morforth,Mint Chip Choco,37030,599,61.819699499165274
Mallorie Waber,Choco Coated Almonds,20531,333,61.65465465465466
Madelene Upcott,Mint Chip Choco,14000,228,61.40350877192982
Dennison Crosswaite,99% Dark & Pure,21833,356,61.32865168539326
Roddy Speechley,Orange Choco,12250,201,60.9452736318408
Brien Boise,85% Dark Bars,28273,464,60.93318965517241
Roddy Speechley,Smooth Sliky Salty,17458,291,59.99312714776632
Curtice Advani,After Nines,22169,370,59.91621621621621
Wilone O'Kielt,50% Dark Bites,14532,245,59.31428571428572
Andria Kimpton,Spicy Special Slims,8673,147,59.0
Beverie Moffet,Manuka Honey Choco,9835,167,58.89221556886228
Husein Augar,Orange Choco,13258,228,58.14912280701754
Marney O'Breen,Manuka Honey Choco,24059,415,57.973493975903615
Dennison Crosswaite,Peanut Butter Cubes,8925,158,56.4873417721519
Gunar Cockshoot,Spicy Special Slims,40537,722,56.14542936288089
Barr Faughny,Baker's Choco Chips,17423,311,56.02250803858521
Kelci Walkden,Drinking Coco,32921,588,55.98809523809524
Oby Sorrel,Organic Choco Syrup,30709,557,55.132854578096946
Rafaelita Blaksland,99% Dark & Pure,20706,376,55.069148936170215
Marney O'Breen,Baker's Choco Chips,14532,264,55.04545454545455
Oby Sorrel,Spicy Special Slims,29834,544,54.841911764705884
Van Tuxwell,Baker's Choco Chips,28413,523,54.32695984703633
Roddy Speechley,Peanut Butter Cubes,17710,329,53.829787234042556
Jehu Rudeforth,Raspberry Choco,7154,133,53.78947368421053
Curtice Advani,Almond Choco,7777,145,53.63448275862069
Van Tuxwell,Eclairs,21203,397,53.4080604534005
Dotty Strutley,Baker's Choco Chips,3605,68,53.01470588235294
Gigi Bohling,Caramel Stuffed Bars,8001,151,52.98675496688742
Husein Augar,99% Dark & Pure,12621,239,52.80753138075314
Gigi Bohling,Eclairs,10745,204,52.67156862745098
Dotty Strutley,White Choc,25396,483,52.57971014492754
Madelene Upcott,Peanut Butter Cubes,27671,531,52.111111111111114
Dennison Crosswaite,Organic Choco Syrup,35721,687,51.995633187772924
Mallorie Waber,Orange Choco,24745,476,51.98529411764706
Gunar Cockshoot,85% Dark Bars,7007,135,51.903703703703705
Wilone O'Kielt,Choco Coated Almonds,12390,239,51.84100418410042
Rafaelita Blaksland,Baker's Choco Chips,5649,109,51.825688073394495
Beverie Moffet,Baker's Choco Chips,18011,348,51.75574712643678
Gigi Bohling,White Choc,13503,263,51.342205323193916
Gunar Cockshoot,Eclairs,10535,206,51.140776699029125
Roddy Speechley,Almond Choco,7189,141,50.98581560283688
Oby Sorrel,Manuka Honey Choco,8246,162,50.901234567901234
Ches Bonnell,Choco Coated Almonds,42854,842,50.895486935866984
Karlen McCaffrey,85% Dark Bars,7014,138,50.82608695652174
Rafaelita Blaksland,White Choc,11522,228,50.53508771929825
