Sales_Person,Country,Sales_Person_Revenue,Country_Revenue,Sales_Person_Contri
Ches Bonnell,India,98763,1045800,9.443775100401606
Van Tuxwell,India,85785,1045800,8.20281124497992
Beverie Moffet,Canada,71995,962899,7.4769004848899
Oby Sorrel,India,75579,1045800,7.2269076305220885
Madelene Upcott,New Zealand,67550,950418,7.107399060202984
Madelene Upcott,UK,71330,1051792,6.781759131082952
Dennison Crosswaite,USA,69545,1035349,6.717058692286369
Kelci Walkden,USA,69356,1035349,6.698803978175476
Jehu Rudeforth,UK,69895,1051792,6.645325311468428
Oby Sorrel,UK,69279,1051792,6.58675859865829
Kaine Padly,UK,69034,1051792,6.563465019699713
Jan Morforth,India,67956,1045800,6.497991967871486
Barr Faughny,New Zealand,61145,950418,6.433485056049022
Brien Boise,Canada,60375,962899,6.270128019657306
Mallorie Waber,Australia,71134,1137367,6.2542697299992
Marney O'Breen,New Zealand,58212,950418,6.124883998409121
Karlen McCaffrey,USA,61628,1035349,5.952389001196698
Kelci Walkden,Canada,57078,962899,5.927724506931672
Brien Boise,India,60578,1045800,5.792503346720214
Dennison Crosswaite,Australia,65275,1137367,5.739132575501135
Oby Sorrel,New Zealand,54215,950418,5.704332199095556
Barr Faughny,USA,58961,1035349,5.694794702076305
Roddy Speechley,India,58786,1045800,5.621151271753681
Brien Boise,USA,58170,1035349,5.6183953430196
Marney O'Breen,UK,57169,1051792,5.43539026727718
Van Tuxwell,Canada,51870,962899,5.386857811670798
Gunar Cockshoot,Canada,51744,962899,5.3737723271080355
Brien Boise,Australia,60417,1137367,5.312005711437029
Madelene Upcott,USA,54656,1035349,5.278992880661497
Husein Augar,UK,54390,1051792,5.171174528804174
Beverie Moffet,USA,53466,1035349,5.164055791815127
Kaine Padly,Australia,58415,1137367,5.135985130569113
Madelene Upcott,Australia,58359,1137367,5.131061477957423
Roddy Speechley,Canada,48552,962899,5.042273384851371
Van Tuxwell,Australia,57050,1137367,5.015971098159169
Ches Bonnell,New Zealand,47600,950418,5.008322653821792
Gigi Bohling,UK,52472,1051792,4.988819082099883
Jehu Rudeforth,Australia,56609,1137367,4.977197333842111
Madelene Upcott,Canada,47866,962899,4.9710301911207715
Ches Bonnell,UK,51772,1051792,4.92226599936109
Kaine Padly,Canada,45934,962899,4.770386094491738
Barr Faughny,Canada,45927,962899,4.76965912312714
Beverie Moffet,New Zealand,45150,950418,4.750541340757435
Husein Augar,Australia,53095,1137367,4.668238132458565
Kelci Walkden,India,48160,1045800,4.605087014725569
Dennison Crosswaite,UK,48167,1051792,4.579517623256309
Kelci Walkden,Australia,51961,1137367,4.568534167071842
Curtice Advani,India,47579,1045800,4.549531459170013
Gunar Cockshoot,New Zealand,42112,950418,4.430892512557633
Wilone O'Kielt,New Zealand,42000,950418,4.4191082239604045
Gigi Bohling,Canada,42420,962899,4.405446469463568
Oby Sorrel,Canada,42364,962899,4.399630698546784
Brien Boise,New Zealand,41685,950418,4.385964912280702
Marney O'Breen,Australia,49791,1137367,4.377742628368855
Kelci Walkden,UK,45983,1051792,4.3718720051112765
Van Tuxwell,UK,45514,1051792,4.327281439676286
Kaine Padly,USA,44555,1035349,4.3033798265126055
Dotty Strutley,USA,44303,1035349,4.27904020769808
Camilla Castle,New Zealand,40558,950418,4.267385508271097
Gigi Bohling,New Zealand,40544,950418,4.265912472196444
Jan Morforth,Australia,48468,1137367,4.26142133541768
Ches Bonnell,Canada,40656,962899,4.222249685584885
Camilla Castle,USA,43519,1035349,4.203316949164002
Rafaelita Blaksland,New Zealand,39599,950418,4.166482537157335
Curtice Advani,Canada,39767,962899,4.129924322280945
