Sales_Person,Country,Total_Revenue,Transaction_Count,Revenue_Per_Transaction
Camilla Castle,Canada,29967,3,9989.0
Ches Bonnell,India,98763,10,9876.3
Beverie Moffet,Canada,71995,8,8999.375
Roddy Speechley,UK,33775,4,8443.75
Madelene Upcott,New Zealand,67550,8,8443.75
Oby Sorrel,India,75579,9,8397.666666666666
Kelci Walkden,Canada,57078,7,8154.0
Madelene Upcott,Canada,47866,6,7977.666666666667
Madelene Upcott,UK,71330,9,7925.555555555556
Mallorie Waber,Australia,71134,9,7903.777777777777
Madelene Upcott,USA,54656,7,7808.0
Van Tuxwell,India,85785,11,7798.636363636364
Barr Faughny,Australia,46536,6,7756.0
Karlen McCaffrey,USA,61628,8,7703.5
Beverie Moffet,USA,53466,7,7638.0
Rafaelita Blaksland,UK,38024,5,7604.8
Brien Boise,Canada,60375,8,7546.875
Barr Faughny,USA,58961,8,7370.125
Brien Boise,USA,58170,8,7271.25
Dennison Crosswaite,Australia,65275,9,7252.777777777777
Marney O'Breen,UK,57169,8,7146.125
Van Tuxwell,Australia,57050,8,7131.25
Andria Kimpton,USA,35630,5,7126.0
Marney O'Breen,Australia,49791,7,7113.0
Jehu Rudeforth,Australia,56609,8,7076.125
Gunar Cockshoot,New Zealand,42112,6,7018.666666666667
Dotty Strutley,UK,34902,5,6980.4
Kaine Padly,New Zealand,27860,4,6965.0
Oby Sorrel,UK,69279,10,6927.9
Jan Morforth,Australia,48468,7,6924.0
Kaine Padly,UK,69034,10,6903.4
Kaine Padly,India,20692,3,6897.333333333333
Dennison Crosswaite,UK,48167,7,6881.0
Oby Sorrel,New Zealand,54215,8,6776.875
Ches Bonnell,Canada,40656,6,6776.0
Rafaelita Blaksland,USA,33754,5,6750.8
Rafaelita Blaksland,India,33327,5,6665.4
Husein Augar,Australia,53095,8,6636.875
Camilla Castle,UK,19831,3,6610.333333333333
Rafaelita Blaksland,New Zealand,39599,6,6599.833333333333
Roddy Speechley,India,58786,9,6531.777777777777
Marney O'Breen,New Zealand,58212,9,6468.0
Gunar Cockshoot,Canada,51744,8,6468.0
Roddy Speechley,Australia,31675,5,6335.0
Dennison Crosswaite,USA,69545,11,6322.272727272727
Kelci Walkden,USA,69356,11,6305.090909090909
Dotty Strutley,New Zealand,31346,5,6269.2
Camilla Castle,USA,43519,7,6217.0
Barr Faughny,India,30842,5,6168.4
Camilla Castle,India,30807,5,6161.4
Andria Kimpton,UK,36659,6,6109.833333333333
Gigi Bohling,Canada,42420,7,6060.0
Brien Boise,India,60578,10,6057.8
Husein Augar,UK,54390,9,6043.333333333333
Ches Bonnell,USA,36239,6,6039.833333333333
Jan Morforth,Canada,29918,5,5983.6
Kaine Padly,Australia,58415,10,5841.5
Gigi Bohling,UK,52472,9,5830.222222222223
Jehu Rudeforth,UK,69895,12,5824.583333333333
Camilla Castle,New Zealand,40558,7,5794.0
Gigi Bohling,New Zealand,40544,7,5792.0
Kelci Walkden,Australia,51961,9,5773.444444444444
Karlen McCaffrey,UK,23037,4,5759.25
