Sales_Person,Country,Product,Total_Revenue,Total_Boxes,Total_Transactions,Revenue_Per_Box,Revenue_Per_Transaction
Ches Bonnell,India,Peanut Butter Cubes,22050,208,1,106.00961538461539,22050.0
Van Tuxwell,India,Organic Choco Syrup,19929,174,1,114.53448275862068,19929.0
Rafaelita Blaksland,New Zealand,Eclairs,19481,51,1,381.98039215686276,19481.0
Van Tuxwell,Australia,Organic Choco Syrup,19453,14,1,1389.5,19453.0
Curtice Advani,India,Smooth Sliky Salty,19327,135,1,143.16296296296295,19327.0
Marney O'Breen,UK,Smooth Sliky Salty,18991,88,1,215.8068181818182,18991.0
Kaine Padly,UK,After Nines,18697,176,1,106.23295454545455,18697.0
Jan Morforth,New Zealand,Mint Chip Choco,18340,285,1,64.35087719298245,18340.0
Brien Boise,India,85% Dark Bars,18032,205,1,87.9609756097561,18032.0
Jan Morforth,Australia,Mint Chip Choco,17626,103,1,171.126213592233,17626.0
Dennison Crosswaite,USA,Baker's Choco Chips,17465,271,1,64.44649446494465,17465.0
Kelci Walkden,USA,Manuka Honey Choco,17318,87,1,199.05747126436782,17318.0
Dotty Strutley,USA,Caramel Stuffed Bars,16982,76,1,223.44736842105263,16982.0
Brien Boise,Canada,99% Dark & Pure,16793,416,1,40.36778846153846,16793.0
Kelci Walkden,Canada,After Nines,16702,198,1,84.35353535353535,16702.0
Ches Bonnell,India,Organic Choco Syrup,16569,99,1,167.36363636363637,16569.0
Camilla Castle,USA,Manuka Honey Choco,16401,179,1,91.62569832402235,16401.0
Oby Sorrel,India,Drinking Coco,16380,130,1,126.0,16380.0
Brien Boise,USA,Organic Choco Syrup,16233,138,1,117.6304347826087,16233.0
Dotty Strutley,UK,Almond Choco,16114,96,1,167.85416666666666,16114.0
Kelci Walkden,Canada,Milk Bars,16016,28,1,572.0,16016.0
Kelci Walkden,New Zealand,Drinking Coco,15855,111,1,142.83783783783784,15855.0
Mallorie Waber,Australia,Choco Coated Almonds,15750,92,1,171.19565217391303,15750.0
Karlen McCaffrey,USA,Mint Chip Choco,15652,53,1,295.3207547169811,15652.0
Ches Bonnell,Canada,Choco Coated Almonds,15547,269,1,57.795539033457246,15547.0
Kaine Padly,USA,Milk Bars,15491,58,1,267.08620689655174,15491.0
Rafaelita Blaksland,India,Mint Chip Choco,15491,85,1,182.24705882352941,15491.0
Barr Faughny,Australia,Fruit & Nut Bars,15421,55,1,280.3818181818182,15421.0
Brien Boise,UK,Peanut Butter Cubes,15330,30,1,511.0,15330.0
Oby Sorrel,New Zealand,Organic Choco Syrup,15316,270,1,56.72592592592593,15316.0
Camilla Castle,New Zealand,85% Dark Bars,15099,55,1,274.5272727272727,15099.0
Rafaelita Blaksland,USA,Smooth Sliky Salty,15057,212,1,71.02358490566037,15057.0
Curtice Advani,UK,Peanut Butter Cubes,15008,165,1,90.95757575757575,15008.0
Brien Boise,New Zealand,Manuka Honey Choco,14980,42,1,356.6666666666667,14980.0
Husein Augar,UK,Caramel Stuffed Bars,14938,433,1,34.49884526558891,14938.0
Ches Bonnell,UK,85% Dark Bars,14924,12,1,1243.6666666666667,14924.0
Husein Augar,Australia,50% Dark Bites,14889,52,1,286.3269230769231,14889.0
Beverie Moffet,USA,Raspberry Choco,14798,83,1,178.289156626506,14798.0
Madelene Upcott,Canada,Peanut Butter Cubes,14763,113,1,130.64601769911505,14763.0
Karlen McCaffrey,USA,Raspberry Choco,14749,354,1,41.663841807909606,14749.0
Mallorie Waber,Australia,Orange Choco,14658,275,1,53.301818181818184,14658.0
Madelene Upcott,UK,Smooth Sliky Salty,14539,84,1,173.08333333333334,14539.0
Ches Bonnell,USA,Choco Coated Almonds,14525,92,1,157.8804347826087,14525.0
Andria Kimpton,USA,Raspberry Choco,14504,21,1,690.6666666666666,14504.0
Andria Kimpton,UK,Milk Bars,14336,293,1,48.9283276450512,14336.0
Brien Boise,USA,Milk Bars,14301,130,1,110.00769230769231,14301.0
Beverie Moffet,Canada,Smooth Sliky Salty,14287,370,1,38.61351351351351,14287.0
Ches Bonnell,UK,Orange Choco,14238,54,1,263.6666666666667,14238.0
Curtice Advani,USA,After Nines,14147,235,1,60.2,14147.0
Roddy Speechley,UK,Baker's Choco Chips,14028,351,1,39.965811965811966,14028.0
Beverie Moffet,USA,Peanut Butter Cubes,13930,339,1,41.091445427728615,13930.0
